#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
1,world models for industrial robotics,us,12,350,7.5,0.75,world models manufacturing,2026-01-31,"AI Overview, PAA",1100,800,2500,2025-03-20,"Informational, Non-branded"
2,CHPP throughput loss monitoring software,us,5,180,14,0.5,coal preparation AI,2026-01-31,"PAA, Video preview",450,300,800,2025-07-15,"Transactional, Commercial"
3,reciprocating compressor rod drop monitoring,us,8,210,11.2,0.65,compressor maintenance,2026-01-31,"Shopping, PAA",600,450,1200,2024-11-10,"Commercial, Technical"
4,PPO reinforcement learning for compressor SEC,us,25,90,18.5,0.4,energy optimization AI,2026-01-31,AI Overview,250,150,400,2025-10-05,"Informational, Technical"
5,AI vision for coal flotation froth analysis,us,3,110,12,0.45,CHPP optimization,2026-01-31,"Images, PAA",300,180,500,2025-08-22,"Transactional, Non-branded"
6,hyper-automation in pharmaceutical packaging,us,18,450,9.8,0.7,packaging automation,2026-01-31,"Video, PAA, News",1200,850,2200,2025-01-18,"Informational, Commercial"
7,machine vision for corrosion detection in mining,us,14,320,10.5,0.6,industrial vision AI,2026-01-31,"Images, Sitelinks",850,600,1500,2025-04-14,"Commercial, Transactional"
8,generative AI for sustainable packaging design,us,15,950,5.2,0.8,packaging design AI,2026-01-31,"AI Overview, Sitelinks",3000,2200,6000,2025-06-25,"Informational, Commercial"
9,MSB signal processing for fault diagnosis,us,30,70,15,0.35,vibration analysis,2026-01-31,PAA,200,100,350,2025-09-30,"Informational, Technical"
10,rotary screw compressor VFD optimization AI,us,20,500,8.4,0.75,energy efficiency AI,2026-01-31,"AI Overview, PAA",1500,1100,2800,2024-12-15,"Transactional, Commercial"
11,digital twin for coal preparation operations,us,10,250,13.5,0.55,mining digital twins,2026-01-31,"Video, PAA",700,450,1300,2025-02-12,"Commercial, Transactional"
12,embedded world models for fault prediction,us,22,150,11,0.5,industrial world models,2026-01-31,AI Overview,450,300,900,2025-11-20,"Informational, Non-branded"
13,screw compressor slide valve AI control,us,12,130,16.5,0.45,compressor energy saving,2026-01-31,PAA,350,200,600,2025-07-08,"Transactional, Technical"
14,robotic case packing mixed SKU vision,us,28,420,9,0.65,packaging robotics,2026-01-31,"Images, Shopping",1100,800,2000,2025-05-15,"Commercial, Non-branded"
15,LCSA circularity mapping AI packaging,us,16,280,7.2,0.7,sustainable packaging,2026-01-31,PAA,800,550,1400,2025-03-05,"Informational, Commercial"
