#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
1,wireless vibration monitoring for vertical pumps,us,9,180,12.5,0.6,vibration monitoring,2026-01-31,"Images, PAA",500,350,950,2025-03-12,"Technical, Commercial"
2,IP69K ultrasonic sensors for bottling lines,us,7,110,15.2,0.75,washdown rated sensors,2026-01-31,"Shopping, Images",350,220,800,2025-06-18,"Transactional, Technical"
3,AI predictive maintenance for ammonia compressors,us,14,140,19.5,0.45,compressor maintenance,2026-01-31,"PAA, Video",450,300,900,2025-08-05,"Commercial, Technical"
4,edge computing data gravity for smart factories,us,18,130,21.0,0.3,manufacturing analytics,2026-01-31,"PAA, Knowledge panel",400,280,1100,2025-10-12,"Informational, Technical"
5,rod drop monitoring sensitivity settings,us,11,90,9.5,0.35,compressor maintenance,2026-01-31,"Technical, PAA",300,180,500,2025-04-20,"Technical, Technical"
6,vibrating screen bearing temperature monitoring,us,10,160,11.8,0.55,CHPP optimization,2026-01-31,"Video, PAA",480,320,850,2025-09-15,"Commercial, Technical"
7,industrial AI agent for energy load balancing,us,15,120,24.5,0.4,energy optimization AI,2026-01-31,"AI Overview, PAA",450,280,700,2025-11-02,"Technical, Commercial"
8,preventative maintenance for spiral freezers,us,12,250,13.2,0.65,cold chain maintenance,2026-01-31,"Shopping, PAA",750,550,1500,2025-07-22,"Commercial, Technical"
9,washdown rated IoT gateway for dairy,us,8,140,16.8,0.5,food processing PdM,2026-01-31,"PAA, Images",380,250,900,2025-05-10,"Technical, Commercial"
10,predictive maintenance for tailings thickeners,us,6,190,14.2,0.45,mining reliability,2026-01-31,"PAA, Video preview",500,380,850,2025-08-30,"Commercial, Transactional"
11,reinforcement learning for industrial boiler control,us,22,80,20.5,0.35,energy efficiency AI,2026-01-31,AI Overview,220,140,350,2025-11-15,"Technical, Informational"
12,data gravity aware industrial data lake,us,24,90,18.2,0.3,industrial big data,2026-01-31,"Sitelinks, PAA",280,160,550,2025-12-20,"Informational, Technical"
13,OEE monitoring for aseptic packaging lines,us,13,170,18.8,0.55,packaging automation,2026-01-31,AI Overview,400,280,850,2025-10-25,"Transactional, Commercial"
14,submersible vibration sensors for wastewater,us,11,210,12.4,0.6,vibration analysis,2026-01-31,"Shopping, Images",600,420,1100,2025-02-05,"Commercial, Technical"
15,condition based maintenance for coal crushers,us,9,150,13.5,0.5,coal preparation AI,2026-01-31,"PAA, Video",420,280,750,2025-09-08,"Commercial, Technical"
